employee_id,age,salary,email,signup_date,department
E0311,21,16534.71,user311@example.com,2024-04-04,Finance
E0031,35,22202.24,user31_example.com,2024-01-22,Marketing
E0487,57,8103.38,user487@example.com,2024-11-11,Marketing
E0181,34,11089.74,user181@example.com,2024-12-15,Marketing
E0083,62,10214.89,user83@example.com,2025-03-27,Engineering
E0456,26,7922.29,user456@example.com,2025-01-04,Finance
E0405,54,21071.95,user405@example.com,2025-01-26,HR
E0087,36,20860.75,user87_example.com,2024-04-23,Finance
E0417,23,7397.29,user417@example.com,2024-07-12,Marketing
E0063,43,15530.66,user63@example.com,2024-09-29,Sales
E0099,51,20483.58,user99@example.com,2025-01-31,Marketing
E0486,47,9005.83,user486@example.com,2024-07-05,Sales
E0019,26,5028.23,user19@example.com,2024-03-11,HR
E0382,64,9381.61,user382@example.com,2024-08-21,Finance
E0067,42,13378.75,user67@example.com,2024-03-27,HR
E0357,21,5571.83,user357@example.com,2024-07-03,Finance
E0369,59,8930.88,user369@example.com,2024-10-19,Engineering
E0193,29,21860.01,user193_example.com,2025-04-28,Engineering
E0309,33,20372.45,user309@example.com,2025-04-14,Sales
E0286,40,16268.28,user286@example.com,2025-03-09,HR
E0104,46,7584.98,user104@example.com,2024-10-05,HR
E0375,59,-500,user375@example.com,2024-04-13,Engineering
E0330,37,16780.32,user330@example.com,2025-03-03,Finance
E0492,55,17136.89,user492@example.com,2024-11-03,Finance
E0200,21,-500,user200@example.com,2024-06-13,Finance
E0294,43,8919.69,user294@example.com,2024-10-20,Finance
E0380,38,-500,user380@example.com,2025-01-31,Marketing
E0192,57,8553.56,user192@example.com,2024-04-06,Marketing
E0452,24,21478.18,user452@example.com,2024-09-30,Finance
E0272,18,11167.06,user272@example.com,2025-05-05,Engineering
E0484,31,22620.66,user484@example.com,2024-06-26,Engineering
E0476,57,6207.42,user476@example.com,2024-10-18,Finance
E0111,25,12543.93,user111@example.com,2025-01-29,Sales
E0152,61,24914.69,user152@example.com,2025-01-25,Finance
E0480,,15562.5,user480@example.com,2024-10-06,Sales
E0396,36,11493.41,user396@example.com,2024-11-25,Sales
E0482,150,12065.37,user482@example.com,2024-02-17,HR
E0125,62,11998.45,user125@example.com,2024-08-10,Sales
E0084,46,15524.04,user84@example.com,2025-04-15,Marketing
E0431,62,14612.34,user431@example.com,2024-01-18,HR
E0118,64,5983.3,user118@example.com,2025-04-07,Finance
E0414,27,3994.71,user414@example.com,2024-07-17,Finance
E0419,24,6765.06,user419@example.com,2024-06-17,Engineering
E0403,37,24822.92,user403@example.com,2024-10-22,Marketing
E0291,32,17908.48,user291@example.com,2024-11-14,Engineering
E0158,34,14266.86,user158@example.com,2024-10-17,Engineering
E0051,55,21848.81,user51@example.com,2024-04-29,Marketing
E0065,42,3237.17,user65@example.com,2024-05-12,Marketing
E0434,33,7356.89,user434@example.com,2025-04-12,
E0340,18,3357.07,user340@example.com,2024-06-07,HR
E0471,48,4838.27,user471_example.com,2025-02-15,Finance
E0161,50,16098.62,user161@example.com,2024-01-17,Engineering
E0001,46,22046.33,user1@example.com,2025-03-14,HR
E0356,62,11428.58,user356@example.com,2025-01-02,Marketing
E0341,50,7178.51,user341@example.com,2024-10-06,Finance
E0306,57,9664.07,user306@example.com,2024-08-25,Sales
E0079,22,20649.56,user79@example.com,2024-08-17,Finance
E0493,51,7737.49,user493@example.com,2025-01-10,Sales
E0277,61,19796.33,user277@example.com,2024-05-05,HR
E0293,40,13548.34,user293@example.com,2024-02-27,HR
E0176,34,10626.74,user176@example.com,2025-03-29,Sales
E0400,44,4703.25,user400@example.com,2025-02-09,Finance
E0313,21,15108.53,user313@example.com,2024-01-02,Marketing
E0410,31,21378.5,user410@example.com,2024-07-13,Engineering
E0364,37,-500,user364@example.com,2024-11-10,Sales
E0242,40,4166.98,user242@example.com,2024-02-17,Engineering
E0354,44,13892.26,user354@example.com,2025-05-10,Sales
E0145,30,16130.22,user145@example.com,2024-12-31,
E0233,63,24202.9,user233@example.com,2024-07-30,Sales
E0014,26,22063.56,user14@example.com,2024-04-03,Engineering
E0359,20,4718.64,user359@example.com,2025-03-18,Sales
E0423,52,9400.17,user423@example.com,2024-01-09,HR
E0093,44,23142.37,user93@example.com,2024-05-05,Engineering
E0034,18,19611.12,user34@example.com,2024-09-30,Sales
E0126,19,10055.19,user126@example.com,2024-01-28,Marketing
E0038,33,22799.64,user38@example.com,2024-02-14,Marketing
E0092,23,22550.23,user92@example.com,2025-05-05,Finance
E0188,24,15236.03,user188@example.com,2025-04-04,Marketing
E0289,20,10405.27,user289@example.com,2025-03-10,Finance
E0021,64,9843.39,user21@example.com,2024-03-10,Sales
E0287,55,11811.71,user287@example.com,2024-01-27,
